filename,mfcc_features
16.wav,"[-98.89708709716797, 177.65309143066406, -17.02884292602539, 11.727640151977539, 19.383405685424805, 14.591245651245117, -16.28212547302246, 2.4897639751434326, 10.59212589263916, -0.40842846035957336, 1.9457898139953613, 12.211451530456543, 5.408238887786865]"
17.wav,"[-138.8699493408203, 174.45608520507812, -12.126842498779297, -4.202242851257324, 10.13945198059082, 26.51727867126465, -17.55562400817871, -4.582535743713379, 15.580577850341797, -2.969263792037964, -1.1950817108154297, 9.481407165527344, 7.597939491271973]"
15.wav,"[-184.06964111328125, 121.10768127441406, -36.847633361816406, 26.905372619628906, 35.7341194152832, 10.406684875488281, -17.654672622680664, 9.624530792236328, 22.147098541259766, -5.071673393249512, 0.27927350997924805, 9.047147750854492, 7.329799652099609]"
29.wav,"[-254.666015625, 131.77963256835938, 10.730230331420898, 16.640674591064453, 8.204791069030762, 19.320436477661133, 1.5204181671142578, 9.16057300567627, 11.54326057434082, 6.328713893890381, 3.096306562423706, 14.763374328613281, 6.073851108551025]"
28.wav,"[-262.4546203613281, 167.73805236816406, 13.290128707885742, 16.58338737487793, 13.511707305908203, 19.676010131835938, -3.9175570011138916, 14.209071159362793, 8.613710403442383, 8.190945625305176, -2.270355701446533, 10.609217643737793, 2.3171627521514893]"
14.wav,"[-193.57200622558594, 120.38459777832031, -55.002235412597656, 33.10529327392578, 42.59916305541992, 13.312504768371582, -26.227758407592773, 13.56446647644043, 21.411361694335938, -2.8185343742370605, -0.9453555345535278, 15.692761421203613, 6.8238749504089355]"
38.wav,"[-278.09503173828125, 119.58745574951172, 46.33693313598633, 21.595361709594727, 4.124687194824219, 37.73386764526367, -14.656211853027344, 12.383084297180176, 5.918397426605225, 22.907079696655273, -14.693931579589844, 16.999263763427734, -1.2510449886322021]"
10.wav,"[-160.902099609375, 126.0137710571289, -54.62678146362305, 15.125531196594238, 36.11240005493164, 19.98687171936035, -17.730558395385742, 12.935133934020996, 23.443830490112305, -2.1327359676361084, 2.360624074935913, 9.196867942810059, 10.231739044189453]"
11.wav,"[-185.4537353515625, 122.36358642578125, -53.87149429321289, 21.23506736755371, 32.49711608886719, 11.811602592468262, -18.899999618530273, 16.324037551879883, 22.87946319580078, -3.9585487842559814, -0.5016655921936035, 10.643115997314453, 8.036940574645996]"
39.wav,"[-395.9246520996094, 107.5728530883789, 58.223106384277344, 6.920868396759033, 14.151176452636719, 32.90215301513672, -10.531928062438965, 9.468823432922363, 5.812774658203125, 20.207199096679688, -12.5665922164917, 16.179702758789062, 1.1483529806137085]"
13.wav,"[-205.92745971679688, 134.2749481201172, -38.851051330566406, 32.43706130981445, 40.049659729003906, 14.003908157348633, -16.562198638916016, 17.468360900878906, 23.58883285522461, 0.16260689496994019, -3.3887898921966553, 12.205957412719727, 6.9840898513793945]"
12.wav,"[-196.63229370117188, 126.0394515991211, -37.07013702392578, 25.206052780151367, 42.15247344970703, 11.230979919433594, -15.583305358886719, 13.490825653076172, 22.58786392211914, -0.7434334754943848, -0.8677640557289124, 11.8204927444458, 7.558231830596924]"
61.wav,"[-264.29052734375, 124.07483673095703, 22.5284423828125, 7.7596516609191895, 18.824220657348633, 29.009546279907227, 5.68559455871582, 7.2704057693481445, 13.6341552734375, 8.716840744018555, 2.5941481590270996, 4.4332098960876465, 7.306058883666992]"
75.wav,"[-231.61972045898438, 119.40570831298828, -37.77022933959961, 51.170379638671875, 29.511356353759766, 13.42131233215332, -11.434518814086914, 24.785751342773438, 14.619973182678223, -5.546796798706055, -2.59521484375, 15.44739818572998, 0.71535724401474]"
49.wav,"[-328.8955078125, 107.02867889404297, 27.666240692138672, 9.77820110321045, 19.437776565551758, 21.41366958618164, 8.654412269592285, 7.447922706604004, 11.450594902038574, 7.338390827178955, 3.529940605163574, 6.042266368865967, 8.126873970031738]"
48.wav,"[-384.2314147949219, 123.70915985107422, 55.4428596496582, 4.726543426513672, 11.5982027053833, 29.59381866455078, -17.650455474853516, 10.917027473449707, 1.4674954414367676, 25.003936767578125, -17.453657150268555, 19.11137580871582, -1.5266464948654175]"
74.wav,"[-221.74635314941406, 135.11363220214844, -28.325387954711914, 44.151092529296875, 23.28952980041504, 15.908757209777832, -11.152997970581055, 23.922395706176758, 10.068843841552734, -2.9401116371154785, -5.555384635925293, 9.111671447753906, -1.3466439247131348]"
60.wav,"[-383.4012145996094, 126.00639343261719, 23.645952224731445, 16.095252990722656, 7.204653263092041, 19.30452537536621, -1.8059759140014648, -1.809726357460022, 9.474188804626465, 3.600605010986328, -6.425220012664795, 4.430466651916504, 7.495580673217773]"
76.wav,"[-331.845947265625, 105.73197937011719, 8.530899047851562, -16.5628662109375, -5.273800373077393, 27.881919860839844, -25.158933639526367, 10.478480339050293, -0.2568250298500061, 6.090534210205078, -7.6216230392456055, 7.707579135894775, -4.21403694152832]"
62.wav,"[-261.48345947265625, 128.19317626953125, 15.373024940490723, 4.050652027130127, 19.103927612304688, 29.82469367980957, 5.297491550445557, 8.02465534210205, 14.610190391540527, 8.603687286376953, 3.6407220363616943, 6.813834190368652, 6.789536952972412]"
63.wav,"[-287.78155517578125, 141.56546020507812, 14.899511337280273, 10.088423728942871, 8.646145820617676, 36.91973114013672, -0.3785771429538727, 13.412948608398438, 10.457281112670898, 10.619597434997559, 2.2960567474365234, 5.494019031524658, 5.9488983154296875]"
